model,train_r2,test_r2,train_mae,test_mae,train_rmse,test_rmse,train_mape,test_mape
CatBoost,0.9729409497070335,0.84656701293307,19682.855958771725,27140.913258916094,33134.906671690434,78498.7741165574,11.742900704627624,13.83188104122306
Random Forest,0.944756961423175,0.8355192476772341,13053.85225077584,25619.21662574669,47344.36063497495,81275.76135085299,6.375236405314688,12.560854062843719
XGBoost,0.9884346402628436,0.8345571976393311,13745.260340031693,25126.698146362414,21662.52364317527,81513.10628571958,8.694561001710104,12.229642966505375
LightGBM,0.9647878837443356,0.8308141421025863,19059.359738897198,27238.81538245113,37798.58483241442,82430.0443527327,10.929323820255675,13.737042777628872
Ridge,0.5733908270800692,0.5656294034761526,60528.396494548506,60926.06812222037,131566.27277426753,132078.98238123333,42.05188426775127,41.87480195097367
Linear Regression,0.5733908880296767,0.5656101589067357,60533.86949792673,60932.23238301598,131566.26337583744,132081.9081950575,42.06079127781423,41.88380788279733
